name,short_name,city,state,type,established_year,nirf_rank,nirf_score,naac_grade,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,exams_accepted,streams,about,highlights,website,slug
SSN College of Engineering,SSN,Chennai,Tamil Nadu,PRIVATE,1996,0,0,A++,175000,200000,88.0,8.5,0.9,"Microsoft,Amazon,Google,Infosys,TCS",TNEA,ENGINEERING,SSN College of Engineering is one of Chennai's top private autonomous engineering colleges with excellent placements.,"Chennai top private,Strong placements,Autonomous,Industry connect",https://www.ssn.edu.in,ssn-college-of-engineering
Rajalakshmi Engineering College,REC Chennai,Chennai,Tamil Nadu,PRIVATE,1997,0,0,A+,165000,200000,83.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,Rajalakshmi Engineering College is a leading private engineering college in Chennai with strong industry connections.,"Chennai private,Industry connections,Good placements,NAAC A+",https://www.rajalakshmi.org,rajalakshmi-engineering-college
Sri Venkateswara College of Engineering,SVCE,Sriperumbudur,Tamil Nadu,PRIVATE,1985,0,0,A+,155000,195000,82.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,SVCE is a top private engineering college in Tamil Nadu near Chennai with consistent placement performance.,"Tamil Nadu top private,Chennai proximity,Good placements,Industry connect",https://www.svce.ac.in,sri-venkateswara-college-of-engineering
Bannari Amman Institute of Technology,BIT Sathyamangalam,Sathyamangalam,Tamil Nadu,PRIVATE,1996,0,0,A++,130000,170000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,BIT Sathyamangalam is a top autonomous engineering college in Tamil Nadu known for discipline and placements.,"Tamil Nadu autonomous,Discipline,Good placements,NAAC A++",https://www.bitsathy.ac.in,bannari-amman-institute-of-technology
Kumaraguru College of Technology,KCT,Coimbatore,Tamil Nadu,PRIVATE,1984,0,0,A++,140000,180000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,KCT Coimbatore is a top autonomous engineering college with strong industry connections and research output.,"Coimbatore top college,Autonomous,Industry connect,Research",https://www.kct.ac.in,kumaraguru-college-of-technology
Kongu Engineering College,KEC,Erode,Tamil Nadu,PRIVATE,1983,0,0,A++,120000,160000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Kongu Engineering College is one of Tamil Nadu's top autonomous engineering colleges in the Erode district.,"Tamil Nadu top,Autonomous,Erode district,Good placements",https://kongu.edu,kongu-engineering-college
National Institute of Engineering,NIE Mysore,Mysuru,Karnataka,PRIVATE,1946,0,0,A+,145000,200000,80.0,7.0,0.75,"Infosys,TCS,Wipro,Cognizant,Amazon",KCET,ENGINEERING,NIE Mysore is one of Karnataka's oldest and most respected private engineering colleges.,"Old institution,Karnataka top,Good placements,Industry connect",https://nie.ac.in,national-institute-of-engineering
JSS Science and Technology University,JSS STU,Mysuru,Karnataka,DEEMED,1963,0,0,A+,180000,280000,82.0,7.5,0.8,"Infosys,TCS,Wipro,Amazon,Bosch",KCET,ENGINEERING,JSS Science and Technology University is a top deemed university in Karnataka with strong industry partnerships.,"Karnataka deemed,Industry partnerships,Mysuru campus,Good placements",https://jssstuniv.in,jss-science-and-technology-university
Dayananda Sagar College of Engineering,DSCE,Bengaluru,Karnataka,PRIVATE,1979,0,0,A+,195000,280000,81.0,7.5,0.8,"Infosys,TCS,Wipro,Amazon,Microsoft",KCET,ENGINEERING,DSCE Bangalore is a top private engineering college in Bangalore with a strong reputation for technical education.,"Bangalore top college,Industry connect,Good placements,NAAC A+",https://www.dsce.edu.in,dayananda-sagar-college-of-engineering
New Horizon College of Engineering,NHCE,Bengaluru,Karnataka,PRIVATE,2001,0,0,A+,175000,250000,80.0,7.0,0.75,"Infosys,TCS,Wipro,Cognizant,Amazon",KCET,ENGINEERING,NHCE Bangalore is a top autonomous engineering college in East Bangalore with good placement records.,"Bangalore east,Autonomous,Good placements,Industry connect",https://www.newhorizonindia.edu,new-horizon-college-of-engineering
Sir M Visvesvaraya Institute of Technology,Sir MVIT,Bengaluru,Karnataka,PRIVATE,1986,0,0,A+,185000,265000,81.0,7.5,0.8,"Infosys,TCS,Wipro,Amazon,Cognizant",KCET,ENGINEERING,Sir MVIT Bangalore is a top engineering college in Bangalore named after the legendary engineer M Visvesvaraya.,"Bangalore top,Legendary name,Good placements,Industry connect",https://www.sirmvit.edu,sir-m-visvesvaraya-institute-of-technology
Veermata Jijabai Technological Institute,VJTI Mumbai,Mumbai,Maharashtra,GOVERNMENT,1887,0,0,A++,50000,80000,85.0,8.0,0.9,"TCS,Infosys,Wipro,L&T,Siemens",MHT-CET,ENGINEERING,VJTI Mumbai is one of India's oldest and most prestigious government engineering colleges with a proud legacy.,"India oldest govt eng,Mumbai premier,Low fees,Strong legacy",https://vjti.ac.in,veermata-jijabai-technological-institute
Institute of Chemical Technology,ICT Mumbai,Mumbai,Maharashtra,GOVERNMENT,1933,5,78.55,A++,60000,100000,88.0,9.0,1.0,"Reliance,BASF,P&G,Asian Paints,ONGC","JEE Main,MHT-CET",ENGINEERING,ICT Mumbai is Asia's top chemical technology institution and a globally ranked university for chemical sciences.,"NIRF Top 10 Univ,Asia top chemical,Government,Old institution",https://www.ictmumbai.edu.in,institute-of-chemical-technology
Government College of Engineering Pune,GCOEARA,Aurangabad,Maharashtra,GOVERNMENT,1960,0,0,A+,30000,60000,80.0,7.0,0.75,"TCS,Infosys,Wipro,L&T,Cognizant",MHT-CET,ENGINEERING,GCE Aurangabad is a top government engineering college in Maharashtra offering quality technical education.,"Government college,Maharashtra,Low fees,Good placements",https://www.gcoea.ac.in,government-college-of-engineering-pune
Maharashtra Institute of Technology,MIT Pune,Pune,Maharashtra,PRIVATE,1983,0,0,A+,175000,245000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",MHT-CET,ENGINEERING,MIT Pune (Maharashtra Institute of Technology) is a top private engineering college in Pune.,"Pune top private,Industry connect,Good placements,NAAC A+",https://mitpune.edu.in,maharashtra-institute-of-technology
Symbiosis Institute of Technology,SIT Pune,Pune,Maharashtra,DEEMED,1999,0,0,A+,330000,380000,85.0,8.0,0.9,"TCS,Infosys,Amazon,Microsoft,IBM",MHT-CET,ENGINEERING,SIT Pune is part of the prestigious Symbiosis International University with strong corporate connections.,"Symbiosis brand,Corporate connect,Pune campus,Good placements",https://www.sitpune.edu.in,symbiosis-institute-of-technology
Vishwakarma Institute of Information Technology,VIIT,Pune,Maharashtra,PRIVATE,2002,0,0,A,150000,210000,81.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",MHT-CET,ENGINEERING,VIIT Pune is a top engineering college in Pune with focus on information technology programs.,"Pune IT focus,Good placements,Industry connect,NAAC A",https://www.viit.ac.in,vishwakarma-institute-of-information-technology
Osmania University College of Engineering,OU Engineering,Hyderabad,Telangana,GOVERNMENT,1929,0,0,A++,30000,60000,79.0,7.0,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TS EAMCET,ENGINEERING,Osmania University College of Engineering is one of Telangana's oldest and most prestigious government engineering colleges.,"Old institution,Government,Low fees,Telangana premier",https://www.osmania.ac.in,osmania-university-college-of-engineering
JNTU Hyderabad,JNTUH,Hyderabad,Telangana,GOVERNMENT,1972,0,0,A+,35000,70000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TS EAMCET,ENGINEERING,JNTU Hyderabad is a leading technical university in Telangana that affiliates hundreds of engineering colleges.,"Affiliating university,Telangana,Government,Low fees",https://www.jntuh.ac.in,jntu-hyderabad
Vasavi College of Engineering,VCE Hyderabad,Hyderabad,Telangana,PRIVATE,1948,0,0,A++,160000,220000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",TS EAMCET,ENGINEERING,Vasavi College of Engineering is one of Hyderabad's top autonomous engineering colleges.,"Hyderabad top,Autonomous,Old institution,Good placements",https://www.vasavi.ac.in,vasavi-college-of-engineering
CVR College of Engineering,CVR,Hyderabad,Telangana,PRIVATE,2001,0,0,A+,150000,210000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",TS EAMCET,ENGINEERING,CVR College of Engineering is a top private engineering college in Hyderabad with strong industry ties.,"Hyderabad top private,Industry ties,Good placements,NAAC A+",https://www.cvr.ac.in,cvr-college-of-engineering
MLR Institute of Technology,MLRIT,Hyderabad,Telangana,PRIVATE,1998,0,0,A,130000,180000,79.0,6.8,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",TS EAMCET,ENGINEERING,MLRIT Hyderabad is a private engineering college with good placement record and modern facilities.,"Hyderabad private,Good placements,Modern facilities,NAAC A",https://mlrinstitutions.ac.in,mlr-institute-of-technology
Dhirubhai Ambani Institute of Information and Communication Technology,DA-IICT,Gandhinagar,Gujarat,DEEMED,2001,50,56.11,A+,365000,365000,91.0,12.0,1.2,"Google,Microsoft,Amazon,Qualcomm,Samsung",JEE Main,ENGINEERING,DA-IICT Gandhinagar is a premier ICT-focused institution with exceptional placements in tech companies.,"ICT focus,Gujarat top,Industry connect,Strong placements",https://www.daiict.ac.in,dhirubhai-ambani-institute-of-information-and-communication-technology
Sardar Vallabhbhai National Institute of Technology,SVNIT,Surat,Gujarat,CENTRAL,1961,29,63.88,A+,75000,135000,86.0,9.5,1.0,"Microsoft,Google,Amazon,Infosys,Wipro",JEE Main,ENGINEERING,SVNIT Surat is one of Gujarat's premier technical institutions with strong placement records and research output.,"NIRF Top 30,Gujarat premier,NIT status,Good placements",https://www.svnit.ac.in,sardar-vallabhbhai-national-institute-of-technology
L.D. College of Engineering,LDCE,Ahmedabad,Gujarat,GOVERNMENT,1948,0,0,A++,25000,50000,82.0,7.5,0.8,"TCS,Infosys,L&T,Wipro,Amazon",GUJCET,ENGINEERING,LDCE Ahmedabad is one of Gujarat's oldest and most prestigious government engineering colleges.,"Old institution,Gujarat government,Low fees,Good placements",https://ldce.ac.in,ld-college-of-engineering
Nirma University,Nirma University,Ahmedabad,Gujarat,DEEMED,1994,0,0,A+,290000,380000,84.0,8.0,0.9,"TCS,Infosys,L&T,Wipro,Amazon","JEE Main,GUJCET",ENGINEERING,Nirma University is Gujarat's top private deemed university with strong engineering and management programs.,"Gujarat top private,Deemed university,Industry connect,Good placements",https://nirmauni.ac.in,nirma-university
Malaviya National Institute of Technology,MNIT,Jaipur,Rajasthan,CENTRAL,1963,26,65.99,A+,72000,128000,85.5,9.5,1.0,"Microsoft,Amazon,Infosys,TCS,L&T",JEE Main,ENGINEERING,MNIT Jaipur is Rajasthan's top NIT with strong placement records and research programs.,"NIRF Top 30,Rajasthan premier,NIT,Good placements",https://www.mnit.ac.in,malaviya-national-institute-of-technology
Poornima College of Engineering,Poornima,Jaipur,Rajasthan,PRIVATE,2000,0,0,A,120000,170000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",JEE Main,ENGINEERING,Poornima College of Engineering is Jaipur's leading private engineering college.,"Jaipur top private,Good placements,Industry connect,NAAC A",https://www.poornima.org,poornima-college-of-engineering
Arya College of Engineering,Arya College,Jaipur,Rajasthan,PRIVATE,1999,0,0,A,110000,155000,76.0,6.0,0.65,"TCS,Infosys,Wipro,Cognizant,HCL",JEE Main,ENGINEERING,Arya College of Engineering is a top private engineering college in Jaipur.,"Jaipur private,Good placements,Industry connect,NAAC A",https://www.aryacollege.in,arya-college-of-engineering
IIT (BHU) Varanasi,IIT BHU,Varanasi,Uttar Pradesh,CENTRAL,1919,11,76.44,A++,75000,185000,90.0,15.0,1.7,"Microsoft,Google,Amazon,Goldman Sachs,Samsung",JEE Advanced,ENGINEERING,"IIT BHU is one of India's oldest technical institutions, now an IIT, with strong research and placement record.","IIT status,Old institution,Strong placements,BHU campus",https://iitbhu.ac.in,iit-bhu-varanasi
Motilal Nehru National Institute of Technology,MNNIT Allahabad,Prayagraj,Uttar Pradesh,CENTRAL,1961,27,65.44,A+,73000,130000,85.0,9.0,0.95,"Microsoft,Amazon,Infosys,TCS,Google",JEE Main,ENGINEERING,MNNIT Allahabad is a top NIT in Uttar Pradesh with strong academic programs and placement record.,"NIRF Top 30,UP premier NIT,Good placements,Research",https://mnnit.ac.in,motilal-nehru-national-institute-of-technology
Harcourt Butler Technical University,HBTU,Kanpur,Uttar Pradesh,GOVERNMENT,1921,0,0,A,45000,80000,79.0,6.5,0.7,"TCS,Infosys,Wipro,L&T,ONGC","JEE Main,UPSEE",ENGINEERING,HBTU Kanpur is one of UP's oldest technical institutions offering engineering and technology programs.,"Old institution,UP government,Low fees,Technical education",https://hbtu.ac.in,harcourt-butler-technical-university
Amity University,Amity Noida,Noida,Uttar Pradesh,PRIVATE,2005,0,0,A+,350000,500000,80.0,7.0,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",JEE Main,ENGINEERING,Amity University is one of India's largest private universities with multiple campuses and diverse programs.,"Large private university,Multiple campuses,Industry connect,Good placements",https://www.amity.edu,amity-university
Galgotias University,Galgotias,Greater Noida,Uttar Pradesh,PRIVATE,2011,0,0,A,180000,280000,77.0,6.0,0.65,"TCS,Infosys,Wipro,Cognizant,HCL",JEE Main,ENGINEERING,Galgotias University is a growing private university in Greater Noida with good placement infrastructure.,"Greater Noida,Growing university,Industry connect,Good placements",https://galgotiasuniversity.edu.in,galgotias-university
GL Bajaj Institute of Technology,GL Bajaj,Greater Noida,Uttar Pradesh,PRIVATE,2005,0,0,A,140000,200000,76.0,6.0,0.65,"TCS,Infosys,Wipro,Cognizant,HCL",JEE Main,ENGINEERING,GL Bajaj Institute is a top private engineering college in Greater Noida with consistent placement performance.,"Greater Noida,Good placements,Industry connect,NAAC A",https://glbitm.org,gl-bajaj-institute-of-technology
Jadavpur University,Jadavpur,Kolkata,West Bengal,GOVERNMENT,1955,10,76.88,A++,35000,70000,85.0,8.5,0.9,"TCS,Infosys,Wipro,Amazon,Cognizant",WBJEE,ENGINEERING,"Jadavpur University is West Bengal's premier technical university, consistently ranked among India's top 10.","NIRF Top 15 Univ,West Bengal premier,Government,Low fees",https://jadavpuruniversity.in,jadavpur-university
Heritage Institute of Technology,Heritage,Kolkata,West Bengal,PRIVATE,2001,0,0,A+,165000,230000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",WBJEE,ENGINEERING,Heritage Institute of Technology is a top autonomous engineering college in Kolkata.,"Kolkata top private,Autonomous,Good placements,NAAC A+",https://heritageit.edu.in,heritage-institute-of-technology
Institute of Engineering and Management,IEM Kolkata,Kolkata,West Bengal,PRIVATE,1989,0,0,A,170000,240000,79.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,Amazon",WBJEE,ENGINEERING,IEM Kolkata is one of West Bengal's leading private engineering institutions.,"Kolkata top,Industry connect,Good placements,NAAC A",https://www.iemcal.com,institute-of-engineering-and-management
Techno India University,Techno India,Kolkata,West Bengal,PRIVATE,2012,0,0,A,150000,210000,77.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,HCL",WBJEE,ENGINEERING,Techno India University is a growing private university in West Bengal.,"West Bengal private,Growing institution,Good placements,Industry connect",https://technoindiauniversity.ac.in,techno-india-university
IIT Bhopal,IIT Bhopal,Bhopal,Madhya Pradesh,CENTRAL,2008,32,62.44,A+,65000,165000,85.0,12.0,1.3,"Microsoft,Google,Amazon,Samsung,Qualcomm",JEE Advanced,ENGINEERING,IIT Bhopal is one of India's new-generation IITs with a growing research culture and industry connections.,"IIT status,New generation,Growing research,Good placements",https://www.iitbhopal.ac.in,iit-bhopal
MAULANA AZAD NATIONAL INSTITUTE OF TECHNOLOGY,MANIT Bhopal,Bhopal,Madhya Pradesh,CENTRAL,1960,31,62.88,A+,73000,128000,84.0,8.5,0.9,"Microsoft,Amazon,Infosys,TCS,L&T",JEE Main,ENGINEERING,MANIT Bhopal is the premier NIT of Madhya Pradesh with strong technical programs and placement record.,"NIRF Top 35,MP premier NIT,Good placements,Research",https://www.manit.ac.in,maulana-azad-national-institute-of-technology
Lakshmi Narain College of Technology,LNCT,Bhopal,Madhya Pradesh,PRIVATE,1994,0,0,A,120000,170000,76.0,6.0,0.65,"TCS,Infosys,Wipro,Cognizant,HCL","JEE Main,MP PET",ENGINEERING,LNCT Bhopal is a top private engineering college in Madhya Pradesh with multiple campuses.,"MP top private,Multiple campuses,Industry connect,Good placements",https://lnct.ac.in,lakshmi-narain-college-of-technology
IIT Bhubaneswar,IIT Bhubaneswar,Bhubaneswar,Odisha,CENTRAL,2008,29,63.55,A+,65000,165000,84.0,11.5,1.2,"Microsoft,Google,Amazon,Samsung,Infosys",JEE Advanced,ENGINEERING,IIT Bhubaneswar is one of India's new IITs with a strong research culture and growing reputation.,"IIT status,New IIT,Research focus,Good placements",https://www.iitbbs.ac.in,iit-bhubaneswar
College of Engineering and Technology Bhubaneswar,CET Bhubaneswar,Bhubaneswar,Odisha,GOVERNMENT,1981,0,0,A+,40000,75000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Infosys,L&T","JEE Main,OJEE",ENGINEERING,CET Bhubaneswar is Odisha's premier government engineering college with strong academic programs.,"Odisha premier,Government,Low fees,Good placements",https://cet.edu.in,college-of-engineering-and-technology-bhubaneswar
KIIT Deemed University,KIIT,Bhubaneswar,Odisha,DEEMED,1992,16,72.55,A++,350000,450000,87.0,8.5,1.0,"Microsoft,Amazon,TCS,Infosys,Wipro",KIITEE,ENGINEERING,KIIT Bhubaneswar is a top deemed university in Eastern India with strong placements and research output.,"NIRF Top 20,Eastern India top,Deemed university,Good placements",https://kiit.ac.in,kiit-deemed-university
College of Engineering Trivandrum,CET Trivandrum,Thiruvananthapuram,Kerala,GOVERNMENT,1939,0,0,A++,40000,75000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",KEAM,ENGINEERING,CET Trivandrum is one of India's oldest engineering colleges and Kerala's most prestigious government engineering institution.,"Old institution,Kerala premier,Government,Low fees",https://www.cet.ac.in,college-of-engineering-trivandrum
Govt Model Engineering College,MEC Kochi,Kochi,Kerala,GOVERNMENT,1989,0,0,A+,38000,72000,81.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",KEAM,ENGINEERING,Model Engineering College Kochi is a top government engineering college known for its vibrant tech culture.,"Kerala government,Tech culture,Good placements,NAAC A+",https://www.mec.ac.in,govt-model-engineering-college
Rajagiri School of Engineering and Technology,RSET,Kochi,Kerala,PRIVATE,2001,0,0,A+,165000,220000,83.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",KEAM,ENGINEERING,RSET Kochi is one of Kerala's top private engineering colleges with consistent placement performance.,"Kerala top private,Good placements,Industry connect,NAAC A+",https://rajagiritech.ac.in,rajagiri-school-of-engineering-and-technology
Federal Institute of Science and Technology,FISAT,Angamaly,Kerala,PRIVATE,2002,0,0,A+,150000,210000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Amazon,Cognizant",KEAM,ENGINEERING,FISAT is a reputed private engineering college in Kerala with strong industry connections.,"Kerala private,Good placements,Industry connect,NAAC A+",https://fisat.ac.in,federal-institute-of-science-and-technology
IIT Ropar,IIT Ropar,Rupnagar,Punjab,CENTRAL,2008,35,61.11,A+,64000,162000,83.0,11.0,1.1,"Microsoft,Google,Amazon,Samsung,Qualcomm",JEE Advanced,ENGINEERING,IIT Ropar is a new-generation IIT in Punjab with a growing research profile and placement record.,"IIT status,Punjab campus,Research focus,Good placements",https://www.iitrpr.ac.in,iit-ropar
Dr BR Ambedkar National Institute of Technology,NIT Jalandhar,Jalandhar,Punjab,CENTRAL,1987,28,64.44,A+,72000,128000,84.0,9.0,0.95,"TCS,Infosys,Wipro,Microsoft,Amazon",JEE Main,ENGINEERING,NIT Jalandhar is Punjab's premier NIT with strong academic programs across engineering disciplines.,"NIRF Top 30,Punjab NIT,Good placements,Research",https://www.nitj.ac.in,dr-br-ambedkar-national-institute-of-technology
Chandigarh University,CU,Mohali,Punjab,PRIVATE,2012,0,0,A+,240000,380000,84.0,8.0,0.9,"Microsoft,Amazon,TCS,Infosys,Wipro",JEE Main,ENGINEERING,Chandigarh University is one of India's fastest-growing private universities with exceptional placement statistics.,"Fastest growing,North India top,Strong placements,Industry connect",https://www.cuchd.in,chandigarh-university
Chitkara University,Chitkara,Rajpura,Punjab,PRIVATE,2010,0,0,A+,230000,350000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",JEE Main,ENGINEERING,Chitkara University is a top private university in Punjab known for industry-oriented programs.,"Punjab top private,Industry programs,Good placements,Research",https://www.chitkara.edu.in,chitkara-university
Guru Nanak Dev Engineering College,GNDEC,Ludhiana,Punjab,GOVERNMENT,1956,0,0,A+,40000,75000,79.0,6.5,0.7,"TCS,Infosys,Wipro,L&T,HCL",JEE Main,ENGINEERING,GNDEC is one of Punjab's oldest and most respected government engineering colleges.,"Old institution,Punjab government,Low fees,Good placements",https://www.gndec.ac.in,guru-nanak-dev-engineering-college
IIT Patna,IIT Patna,Patna,Bihar,CENTRAL,2008,37,60.44,A+,64000,162000,82.0,10.5,1.1,"Microsoft,Google,Amazon,Samsung,Qualcomm",JEE Advanced,ENGINEERING,IIT Patna is one of the newer IITs in Bihar with a growing research and academic profile.,"IIT status,Bihar premier,Research focus,Good placements",https://www.iitp.ac.in,iit-patna
IIT (ISM) Dhanbad,IIT Dhanbad,Dhanbad,Jharkhand,CENTRAL,1926,18,69.55,A++,65000,175000,88.0,13.0,1.4,"Coal India,ONGC,Microsoft,Google,Amazon",JEE Advanced,ENGINEERING,"IIT (ISM) Dhanbad is one of India's premier institutes for mining, petroleum and applied sciences.","IIT status,Mining engineering,Heritage,NIRF Top 20",https://www.iitism.ac.in,iit-ism-dhanbad
NIT Silchar,NIT Silchar,Silchar,Assam,CENTRAL,1967,25,66.78,A,65000,120000,84.0,9.0,0.9,"Infosys,TCS,Wipro,Amazon,Microsoft",JEE Main,ENGINEERING,NIT Silchar is a leading technical institution in the North-East region.,"North-East premier,NIT status,Good placements,Research",https://www.nits.ac.in,nit-silchar
Assam Engineering College,AEC,Guwahati,Assam,GOVERNMENT,1955,0,0,A+,30000,60000,76.0,6.5,0.7,"TCS,Infosys,Wipro,L&T,HCL",JEE Main,ENGINEERING,AEC Guwahati is Assam's oldest government engineering college with a strong tradition of technical education.,"Old institution,Assam government,Low fees,Good placements",https://www.aec.ac.in,assam-engineering-college
IIT Mandi,IIT Mandi,Mandi,Himachal Pradesh,CENTRAL,2009,40,59.11,A+,63000,160000,81.0,10.0,1.0,"Microsoft,Google,Amazon,Samsung,Qualcomm",JEE Advanced,ENGINEERING,IIT Mandi is located in the scenic Himalayas and is known for its unique research environment.,"IIT status,Himalayan campus,Research focus,Growing",https://www.iitmandi.ac.in,iit-mandi
NIT Hamirpur,NIT Hamirpur,Hamirpur,Himachal Pradesh,CENTRAL,1986,30,63.22,A+,72000,128000,82.0,8.5,0.9,"TCS,Infosys,Microsoft,Amazon,Wipro",JEE Main,ENGINEERING,NIT Hamirpur is a top NIT in Northern India with beautiful Himalayan campus and strong academic programs.,"Himalayan campus,NIT status,Good placements,Research",https://nith.ac.in,nit-hamirpur
IIT Jammu,IIT Jammu,Jammu,Jammu and Kashmir,CENTRAL,2016,0,0,A,60000,155000,79.0,9.5,1.0,"Microsoft,Google,Amazon,Samsung,Qualcomm",JEE Advanced,ENGINEERING,"IIT Jammu is one of India's newest IITs, growing rapidly with a focus on research and innovation.","IIT status,Newest IIT,J&K campus,Growing",https://www.iitjammu.ac.in,iit-jammu
NIT Raipur,NIT Raipur,Raipur,Chhattisgarh,CENTRAL,1956,43,57.55,A,65000,118000,80.0,8.0,0.85,"TCS,Infosys,Wipro,Amazon,Cognizant",JEE Main,ENGINEERING,NIT Raipur is the premier technical institution in Chhattisgarh offering quality engineering programs.,"Chhattisgarh premier,NIT status,Good placements,Research",https://www.nitrr.ac.in,nit-raipur
NIT Goa,NIT Goa,Ponda,Goa,CENTRAL,2010,52,55.11,A,62000,115000,79.0,7.8,0.8,"TCS,Infosys,Wipro,Amazon,Microsoft",JEE Main,ENGINEERING,NIT Goa is a growing NIT in coastal Goa with a strong focus on engineering education and research.,"Goa campus,NIT status,Growing,Research focus",https://www.nitgoa.ac.in,nit-goa
Goa Engineering College,GEC Goa,Farmagudi,Goa,GOVERNMENT,1965,0,0,A+,30000,60000,78.0,6.5,0.7,"TCS,Infosys,Wipro,Cognizant,Amazon",Goa CET,ENGINEERING,GEC Goa is the oldest government engineering college in Goa with strong academic programs.,"Goa government,Old institution,Low fees,Good placements",https://www.gec.ac.in,goa-engineering-college
XLRI Xavier School of Management,XLRI,Jamshedpur,Jharkhand,PRIVATE,1949,4,79.11,A++,2600000,2600000,100.0,29.0,8.0,"McKinsey,BCG,Amazon,Deloitte,Goldman Sachs",XAT,MANAGEMENT,XLRI Jamshedpur is India's oldest private business school known for its HR and Business Management programs.,"India oldest B-school,HR management,100% placement,NAAC A++",https://www.xlri.ac.in,xlri-xavier-school-of-management
SP Jain Institute of Management and Research,SPJIMR,Mumbai,Maharashtra,PRIVATE,1981,5,77.88,A++,2300000,2300000,100.0,27.0,7.5,"McKinsey,Amazon,BCG,Deloitte,KPMG","CAT,GMAT",MANAGEMENT,SPJIMR Mumbai is one of India's top business schools known for social consciousness and strong industry connect.,"Mumbai B-school,Social focus,100% placement,NAAC A++",https://www.spjimr.org,sp-jain-institute-of-management-and-research
Management Development Institute,MDI Gurgaon,Gurugram,Haryana,PRIVATE,1973,7,74.55,A++,2200000,2200000,100.0,25.0,7.0,"McKinsey,BCG,Amazon,Deloitte,Citibank",CAT,MANAGEMENT,MDI Gurgaon is one of India's top B-schools located in the corporate hub of Gurugram with strong industry ties.,"Gurgaon location,Corporate hub,100% placement,Top B-school",https://www.mdi.ac.in,management-development-institute
Indian Institute of Foreign Trade,IIFT,New Delhi,Delhi,GOVERNMENT,1963,8,73.22,A++,1900000,1900000,100.0,24.0,6.5,"Export companies,MNCs,FMCG,Consulting firms",IIFT Entrance,MANAGEMENT,IIFT is India's premier institute for international business and trade management.,"International business,Government,Trade focus,100% placement",https://www.iift.edu,indian-institute-of-foreign-trade
Narsee Monjee Institute of Management Studies,NMIMS,Mumbai,Maharashtra,DEEMED,1981,12,68.44,A++,2000000,2000000,100.0,22.0,6.0,"KPMG,Deloitte,Amazon,McKinsey,BCG",NMAT,MANAGEMENT,NMIMS Mumbai is a top private management school in India known for MBA and Pharmacy programs.,"Mumbai B-school,Multiple programs,100% placement,Top private",https://www.nmims.edu,narsee-monjee-institute-of-management-studies
Great Lakes Institute of Management,Great Lakes,Chennai,Tamil Nadu,PRIVATE,2004,15,65.33,A+,2100000,2100000,99.0,20.0,5.5,"Deloitte,KPMG,Amazon,Flipkart,Cognizant","CAT,GMAT",MANAGEMENT,Great Lakes Chennai is one of South India's top B-schools with strong industry focus and global curriculum.,"South India top B-school,Global curriculum,Industry focus,Good placement",https://www.greatlakes.edu.in,great-lakes-institute-of-management
Symbiosis Institute of Business Management,SIBM Pune,Pune,Maharashtra,DEEMED,1978,11,69.55,A++,2100000,2100000,100.0,23.0,6.0,"KPMG,Deloitte,Amazon,Flipkart,BCG",SNAP,MANAGEMENT,SIBM Pune is Symbiosis's flagship B-school and one of Pune's top management institutes.,"Symbiosis brand,Pune B-school,100% placement,Top private",https://www.sibm.edu,symbiosis-institute-of-business-management
FORE School of Management,FORE,New Delhi,Delhi,PRIVATE,1981,18,63.22,A+,1800000,1800000,100.0,21.0,5.5,"Deloitte,Amazon,KPMG,Cognizant,Flipkart",CAT,MANAGEMENT,FORE School of Management is one of Delhi's top private business schools with strong industry connections.,"Delhi B-school,Industry connect,100% placement,Private",https://www.fsm.ac.in,fore-school-of-management
